x,y,width,height,area,stability_score,avg_hue,color,poly_oriented
857.0,718.0,268.0,213.0,23442,0.9874491095542908,60.63949321730228,green,"[(1129, 871), (1072, 938), (850, 778), (909, 713)]"
270.0,347.0,88.0,256.0,21633,0.9834479689598083,169.85249387509822,red,"[(361, 347), (354, 603), (269, 603), (274, 347)]"
921.0,481.0,291.0,86.0,24434,0.9916048645973206,55.64451174592781,green,"[(1212, 482), (1212, 567), (920, 565), (922, 480)]"
824.0,560.0,290.0,165.0,22460,0.9865121841430664,63.096527159394476,green,"[(1120, 628), (846, 728), (818, 653), (1087, 556)]"
176.0,603.0,283.0,83.0,22956,0.9847456812858582,156.30527966544693,red,"[(459, 604), (459, 686), (176, 684), (176, 602)]"
1078.0,631.0,149.0,263.0,23535,0.9844830632209778,62.889356277884005,green,"[(1236, 874), (1144, 895), (1072, 649), (1165, 627)]"
275.0,89.0,87.0,511.0,20281,0.9846469759941101,157.86494748779646,red,"[(359, 350), (276, 344), (278, 90), (362, 88)]"
277.0,89.0,85.0,261.0,20277,0.9856520295143127,157.79301671844948,red,"[(359, 350), (276, 344), (278, 90), (362, 88)]"
459.0,403.0,281.0,85.0,21677,0.9862542748451233,168.38151035659916,red,"[(740, 405), (740, 478), (458, 491), (460, 401)]"
537.0,477.0,89.0,260.0,20830,0.9850397706031799,168.5609217474796,red,"[(626, 478), (615, 738), (535, 734), (545, 476)]"
921.0,481.0,291.0,161.0,24423,0.9914839863777161,55.59136879171273,green,"[(1212, 482), (1212, 567), (920, 565), (922, 480)]"
841.0,481.0,371.0,225.0,24475,0.9847269654273987,55.59620020429009,green,"[(1212, 482), (1212, 567), (921, 565), (921, 480)]"
621.0,813.0,283.0,79.0,21752,0.9852149486541748,168.38764251563074,red,"[(904, 815), (902, 893), (621, 889), (621, 812)]"
857.0,607.0,269.0,324.0,23496,0.9799460768699646,60.62380830779707,green,"[(1130, 871), (1072, 938), (850, 778), (908, 713)]"
1133.0,140.0,88.0,266.0,21732,0.9722209572792053,95.38855144487391,blue,"[(1217, 140), (1222, 403), (1132, 406), (1137, 140)]"
1045.0,141.0,90.0,266.0,23529,0.9836010336875916,95.04313825491946,blue,"[(1135, 407), (1045, 407), (1045, 142), (1135, 140)]"
628.0,481.0,281.0,85.0,22264,0.9803782105445862,156.18235716852317,red,"[(909, 484), (906, 566), (626, 562), (630, 478)]"
170.0,811.0,285.0,77.0,21810,0.9796354174613953,95.45236130215497,blue,"[(455, 812), (455, 888), (170, 888), (170, 810)]"
656.0,150.0,313.0,173.0,51288,0.9857037663459778,24.693944002495712,yellow,"[(997, 150), (930, 321), (655, 323), (659, 150)]"
728.0,556.0,84.0,257.0,20919,0.980561375617981,171.159711267269,red,"[(810, 813), (727, 811), (730, 557), (812, 554)]"
171.0,734.0,286.0,78.0,21824,0.9849388003349304,95.2861986803519,blue,"[(458, 734), (455, 812), (171, 809), (171, 734)]"
170.0,733.0,287.0,151.0,21646,0.9704422354698181,95.18696294927469,blue,"[(457, 734), (455, 812), (169, 809), (171, 732)]"
728.0,502.0,177.0,311.0,20929,0.9770163893699646,171.13622246643413,red,"[(812, 557), (810, 813), (727, 811), (730, 557)]"
350.0,151.0,305.0,170.0,49467,0.9863181710243225,24.566296723067904,yellow,"[(655, 321), (376, 318), (328, 154), (655, 150)]"
176.0,564.0,284.0,121.0,23007,0.9741390347480774,156.67562046333725,red,"[(461, 604), (458, 685), (176, 683), (176, 602)]"
